# 水豚噜噜 · 语音包清单 (v1.1)
# 角色: Capybara Lulu (水豚噜噜)
# 生成命令 (本机有网即可):
#   pip install edge-tts
#   cd ai-passport-study
#   python3 tools/generate_voice_pack.py
#
# TTS 配置:  zh-CN-XiaoxiaoNeural  pitch=+25Hz  rate=+10% (模拟水豚的可爱活泼感)
# 替代音色: zh-CN-XiaoyiNeural (略稳重)  zh-CN-yaoyao (更萌)

# ===== 每日固定闹钟 (7:00 温柔唤醒) =====
wakeup_alarm        早上好呀～现在是早上七点啦！窗帘外面的太阳正在等你哦，水豚噜噜陪着你慢慢起床，深呼吸三次，元气满满的一天又要开始啦！

# ===== 日常秩序场景 =====
morning_wash        早安！崭新的一天开始啦，冲鸭！洗漱完毕立刻把手机放远一点哦，别让消息偷走你的专注时间，今天也一定能超额完成计划的！
start_study         学习时间到啦！请把手机放到另一个房间，保持专注，你可以的！
lunch               午饭吃得香，下午才有劲～饭后可以背一会儿单词哦，建议午休三十分钟，养足精神再战！
dinner              晚饭时间到！劳逸结合，吃完出去散散步，回来继续加油～
night_wash          洗漱完毕，一天的辛苦结束啦，准备好休息了吗？
sleep               睡觉啦～先回顾一下今天完成了哪些任务，是不是很有成就感？请把手机放到另一个房间，好的睡眠才是新一天的开始哦，晚安～
hair_wash           该洗头发啦～清清爽爽，学习效率更高！
hair_remind         洗头发提醒，今天该洗头啦～距离上次已经整整七天啦，清清爽爽地迎接新的一周，好运自然来哦！

# ===== 10 科完成鼓励语 =====
complete_daily      生活节奏稳稳的，学习才能更高效哦～
complete_math       漂亮！又一道极限被洛必达法则拿下啦！泰勒展开、中值定理、二重积分，你正在一步步征服整个高数宇宙！再坚持一下，拉格朗日都会为你点赞的！
complete_linear     矩阵的世界你又前进了一步，向量空间等你征服～
complete_prob       概率题搞定了！运气也是实力的一部分，但你靠的是真本事！
complete_ds         链表树图全拿捏，算法小能手就是你！
complete_co         CPU 内存总线都搞懂了，你就是行走的计算机组成书！
complete_os         进程调度内存管理通关，OS 大师指日可待！
complete_network    七层模型了然于胸，网络世界任你遨游～
complete_english    单词量加N！坚持下去，阅读速度会越来越快的！
complete_politics   政治知识点又巩固了，马原毛中特全都不在话下！

# ===== ★ 英语专属：子分类级定制语音 =====
english_recite_words            太棒啦！又记住了一大波单词！每一个拼写都刻进脑子里，abandon 已经离你远去啦，明天的你词汇量又要破纪录哦！
english_reading_comprehension   长难句拆解成功！主旨题、细节题、推理题全部拿下！多读一篇阅读，考场上就多一份从容，继续刷真题阅读吧，语感正在飞速上涨！

# ===== 自定义预留 =====
custom_1            自定义提醒响铃啦，请查看你的任务哦～
custom_2            别忘了该完成的事情呀，加油加油！
custom_3            叮咚～你设置的提醒时间到啦！
custom_4            学习真的辛苦啦，休息一下眼睛再继续吧～
custom_5            打卡成功！离上岸又近了一步呢！
